name,closed,lat,lng,city,state,country,url
Lutsen Mountains,false,0.47664e2,-0.90714e2,Lutsen Mountains Snowsports Center,Minnesota,United States,http://www.lutsen.com/winter/
Mount Kato,false,0.4413139e2,-0.9403639e2,Mankato,Minnesota,United States,http://www.mountkato.com
Spirit Mountain,false,0.4671944e2,-0.9221806e2,Duluth,Minnesota,United States,http://www.spiritmt.com
Welch Village,false,0.4456056e2,-0.9272722e2,Welch,Minnesota,United States,http://www.welchvillage.com
Wild Mountain,false,0.4548889e2,-0.9270556e2,Taylors Falls,Minnesota,United States,http://www.wildmountain.com/
Hidden Valley Ski Area,false,0.38535578e2,-0.9065287e2,Hidden Valley,Missouri,United States,http://www.hiddenvalleyski.com/
Snow Creek,false,0.39468651e2,-0.94971964e2,Snow Creek Drive,Missouri,United States,http://www.skisnowcreek.com/
Bottineau Winter Park,false,0.48951e2,-0.100473e3,Bottineau Winter Park,North Dakota,United States,http://www.skibwp.com
Frost Fire Park,false,0.48912e2,-0.98068e2,Walhalla,North Dakota,United States,http://www.frostfirepark.org
Huff Hills,false,0.4662694e2,-0.10072333e3,Ski Lodge,North Dakota,United States,
Alpine Valley Ski Area,false,0.415303e2,-0.812662e2,Chesterland,Ohio,United States,http://www.alpinevalleyohio.com/
Boston Mills/Brandywine Ski Resort,false,0.4126417e2,-0.81565e2,Boston Mills Ski Lodge,Ohio,United States,http://www.bmbw.com
Mad River Mountain,false,0.403163167e2,-0.836805639e2,Valley Hi,Ohio,United States,http://www.skimadriver.com/
Mystic Miner Ski Resort,false,0.443084333e2,-0.1038184417e3,Deer Mount Road,South Dakota,United States,http://skimystic.com/main.php
Great Bear Recreation Park,false,0.435821e2,-0.966649667e2,Sioux Falls,South Dakota,United States,http://www.greatbearpark.com
Terry Peak,false,0.44329e2,-0.103835e3,Terry Summit Road,South Dakota,United States,http://www.terrypeak.com/
Alpine Valley Resort,false,0.42736e2,-0.88428e2,Alpine Valley Resort,Wisconsin,United States,http://www.alpinevalleyresort.com
Cascade Mountain,false,0.435039278e2,-0.895180167e2,Peak Lodge,Wisconsin,United States,http://www.cascademountain.com/
Devil's Head Resort,false,0.4342306e2,-0.8962694e2,Devil's Head Resort,Wisconsin,United States,https://www.devilsheadresort.com/ski-resort-mountain-sauk-merrimac-wi-wisconsin/
Granite Peak Ski Area,false,0.4492861e2,-0.896825e2,Rib Mountain,Wisconsin,United States,http://www.skigranitepeak.com/
Kettlebowl,false,0.45271323e2,-0.8890197883e2,Kettlebowl Ski Hill & Cross-country Trails,Wisconsin,United States,
Telemark Lodge,false,0.46190056e2,-0.91247639e2,Telemark Road,Wisconsin,United States,
Trollhaugen,false,0.4535125e2,-0.9261801e2,Dresser,Wisconsin,United States,
Tyrol Basin,false,0.4304e2,-0.8977e2,Town of Vermont,Wisconsin,United States,http://tyrolbasin.com
Wilmot Mountain,false,0.425e2,-0.8818889e2,Fox Lake,Wisconsin,United States,http://www.wilmotmountain.com
Arizona Snowbowl,false,0.3533e2,-0.111705e3,Arizona Snowbowl,Arizona,United States,http://www.arizonasnowbowl.com
Mount Lemmon Ski Valley,false,0.3245222e2,-0.11078389e3,East Ski Run Road,Arizona,United States,http://www.skithelemmon.com/
Sunrise Park Resort,false,0.3397333e2,-0.10956472e3,Sunrise Park Resort,Arizona,United States,https://www.sunrise.ski/
Arapahoe Basin,false,0.3964167e2,-0.10587167e3,The Goat,Colorado,United States,http://arapahoebasin.com
Aspen Highlands,false,0.3918111e2,-0.10685639e3,Aspen Highlands (Aspen Snowmass),Colorado,United States,http://www.aspensnowmass.com
Aspen Mountain,false,0.3918639e2,-0.10681861e3,Rooftop Pool,Colorado,United States,http://www.aspensnowmass.com
Buttermilk,false,0.39205e2,-0.10686056e3,Pitkin County,Colorado,United States,http://www.aspensnowmass.com
Snowmass,false,0.391956e2,-0.1069513e3,Snowmass Village,Colorado,United States,http://www.aspensnowmass.com
Beaver Creek Resort,false,0.3963139e2,-0.10652167e3,US 6,Colorado,United States,http://www.beavercreek.com/
Breckenridge Ski Resort,false,0.3948e2,-0.106067e3,One Ski Hill Place,Colorado,United States,http://www.breckenridge.com/
Copper Mountain,false,0.3950167e2,-0.10615639e3,Copper Road,Colorado,United States,http://www.coppercolorado.com
Crested Butte Mountain Resort,false,0.3889972e2,-0.106965e3,Mount Crested Butte,Colorado,United States,http://www.skicb.com
Echo Mountain,false,0.39685e2,-0.10551944e3,Malcolm mcalpine,Colorado,United States,https://echomntn.com/
Eldora Mountain Resort,false,0.399375e2,-0.10558361e3,Eldora Mountain Resort,Colorado,United States,http://eldora.com
Hesperus Ski Area,false,0.3729778e2,-0.108055e3,Ski Hesperus,Colorado,United States,
Howelsen Hill Ski Area,false,0.40483e2,-0.106839e3,Howelsen Hill Ski Area,Colorado,United States,
Kendall Mountain Ski Area,false,0.3781135e2,-0.10765652e3,Silverton,Colorado,United States,
Keystone Resort,false,0.39605e2,-0.10595417e3,Keystone Resort,Colorado,United States,http://www.keystoneresort.com/
Loveland Ski Area,false,0.3968e2,-0.105897e3,Ski Patrol,Colorado,United States,http://www.skiloveland.com
Monarch Ski Area,false,0.385125e2,-0.1063325e3,US 50,Colorado,United States,http://www.skimonarch.com
Powderhorn Resort,false,0.3906306e2,-0.10815556e3,Lower Ramble On,Colorado,United States,http://www.powderhorn.com
Purgatory Resort,false,0.3762972e2,-0.10781444e3,Sheol Street,Colorado,United States,http://www.purgatoryresort.com/
Silverton Mountain,false,0.378847e2,-0.10766529e3,Silverton Mountain,Colorado,United States,http://www.silvertonmountain.com
Ski Cooper,false,0.3936e2,-0.106302e3,Ski Cooper,Colorado,United States,http://www.skicooper.com/
Steamboat Ski Resort,false,0.40459e2,-0.106803e3,Zig Zag Trail,Colorado,United States,http://www.steamboat.com
Sunlight Ski Area,false,0.39399806e2,-0.107339278e3,Ski Sunlight Mountain Resort,Colorado,United States,http://www.sunlightmtn.com/
Telluride Ski Resort,false,0.3793639e2,-0.10782028e3,West Pacific Avenue,Colorado,United States,http://tellurideskiresort.com
Vail Ski Resort,false,0.39639e2,-0.106374e3,Gore Valley Trail,Colorado,United States,http://www.vail.com/
Winter Park Resort,false,0.3988694e2,-0.1057625e3,Admin Building,Colorado,United States,http://winterparkresort.com
Wolf Creek ski area,false,0.3747222e2,-0.10679333e3,Private Road to Treasure Pass,Colorado,United States,http://www.wolfcreekski.com
