name,closed,lat,lng,city,state,country,url
Dobrinishte,false,0.4182111e2,0.2356222e2,Освобождение,Bansko,Bulgaria,
Govedartsi,false,0.4226278e2,0.2347806e2,Govedartsi,Samokov,Bulgaria,
Kom Peak,false,0.43167e2,0.2305e2,Sofia,Godech,Bulgaria,
Malyovitsa,false,0.421736361e2,0.23363083e2,х. Мальовица - Мальовишки езера,Samokov,Bulgaria,
Osogovo,false,0.4215833e2,0.2251667e2,Sasa,Eastern Region,North Macedonia,
Pamporovo,false,0.4165e2,0.24683e2,Stoikite,Smolian,Bulgaria,http://www.pamporovo.me
Panichishte,false,0.4226139e2,0.23295e2,Panichishte,Sapareva Bania,Bulgaria,
Parshevitsa,false,0.4314306e2,0.2347611e2,Vratsa,Vratsa,Bulgaria,
Semkovo,false,0.4204389e2,0.2353389e2,Goljam Mechi Vrah-Kanarsko ez.,Belitsa,Bulgaria,
Tsigov Chark,false,0.41955e2,0.2415056e2,Каталина,Batak,Bulgaria,
Uzana,false,0.4275833e2,0.2523722e2,Gabrovo,Gabrovo,Bulgaria,http://www.uzana-tourism.com/
Vitosha,false,0.42567e2,0.23283e2,Pancharevo,Sofia City,Bulgaria,
Medvednica,false,0.45917e2,0.15967e2,Općina Stubičke Toplice,,Croatia,
Platak,false,0.45417e2,0.14567e2,"Šetnica ""Sleme""",Općina Čavle,Croatia,
Mount Olympus,false,0.3493639e2,0.3286333e2,Troodos,Cyprus,Cyprus,
Harrachov,false,0.5077306e2,0.1542889e2,01021,Northeast,Czechia,https://www.harrachov.cz/
Pec pod Sněžkou,false,0.5069361e2,0.1573333e2,Pec pod Sněžkou,Northeast,Czechia,https://www.pecpodsnezkou.cz/
Špindlerův Mlýn,false,0.5072528e2,0.1560833e2,Špindlerův Mlýn,Northeast,Czechia,https://www.spindleruvmlyn.org/
Gjern,false,0.5622417e2,0.974056e1,Gjern,Central Denmark Region,Denmark,
Otepää,false,0.5805722e2,0.2649833e2,Lipuväljak,Otepää vald,Estonia,
Võru,false,0.5784861111e2,0.2699277778e2,Jüri,Võru linn,Estonia,http://www.voru.ee
Kiviõli,false,0.5935e2,0.26967e2,Niine,Lüganuse vald,Estonia,
