name,closed,lat,lng,city,state,url,forecast_url
Strafford,false,43.86583,-72.37722,Strafford,Vermont,,"https://api.weather.gov/gridpoints/BTV/120,32/forecast"
St. Albans,false,44.81028,-73.15222,Saint Albans,Vermont,http://www.stalbanstown.com,"https://api.weather.gov/gridpoints/BTV/87,71/forecast"
Haystack Mountain Ski Area,false,42.9226028,-72.8945694,Wilmington,Vermont,http://www.hermitageclub.com/,"https://api.weather.gov/gridpoints/ALY/85,75/forecast"
Jay Peak Resort,false,44.92944,-72.53222,Jay,Vermont,http://www.jaypeakresort.com/,"https://api.weather.gov/gridpoints/BTV/106,80/forecast"
Killington Ski Resort,true,43.626,-72.798,Killington,Vermont,http://www.killington.com/,"https://api.weather.gov/gridpoints/BTV/108,19/forecast"
Brattleboro,false,42.85,-72.58222,,Vermont,,"https://api.weather.gov/gridpoints/ALY/96,73/forecast"
Lyndon,false,44.53583,-72.00528,Lyndonville,Vermont,http://www.lyndonvt.org,"https://api.weather.gov/gridpoints/BTV/127,65/forecast"
Mad River Glen,true,44.20083,-72.92444,Fayston,Vermont,http://www.madriverglen.com,"https://api.weather.gov/gridpoints/BTV/99,44/forecast"
Magic Mountain Ski Area,true,43.19278,-72.76,Londonderry,Vermont,http://www.magicmtn.com,"https://api.weather.gov/gridpoints/ALY/87,88/forecast"
Middlebury College Snow Bowl,false,43.94,-72.96,Hancock,Vermont,http://www.middlebury.edu/about/facilities/snow_bowl,"https://api.weather.gov/gridpoints/BTV/100,32/forecast"
Mount Snow,false,42.959,-72.922,Somerset,Vermont,https://www.mountsnow.com,"https://api.weather.gov/gridpoints/ALY/84,77/forecast"
Northeast Slopes,false,44.0725,-72.25028,Corinth,Vermont,https://northeastslopes.org,"https://api.weather.gov/gridpoints/BTV/122,42/forecast"
Okemo Mountain,false,43.40139,-72.71667,Ludlow,Vermont,http://www.okemo.com/,"https://api.weather.gov/gridpoints/BTV/112,9/forecast"
Pico Mountain,true,43.66167,-72.8425,Killington,Vermont,http://www.picomountain.com/,"https://api.weather.gov/gridpoints/BTV/106,20/forecast"
Plymouth Notch,false,43.5299,-72.7388,Plymouth,Vermont,,"https://api.weather.gov/gridpoints/BTV/110,15/forecast"
Quechee Ski Area,false,43.6572,-72.4431,Ski Ticket Booth,Vermont,,"https://api.weather.gov/gridpoints/BTV/119,22/forecast"
Saskadena Six,false,43.66389,-72.54444,Pomfret,Vermont,http://saskadenasix.com,"https://api.weather.gov/gridpoints/BTV/116,22/forecast"
